Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
126,US,"Renwood's tiny two-barrel production of its most expensive Zinfandel has aromas like vanilla and coconut and flavors as rich as milk chocolate and strawberry jam. This full-bodied wine is practically a liquid dessert, though it's not overly sweet. It's full-bodied, smooth and broad in texture.",Grand Wren,90,100.0,California,Amador County,Sierra Foothills,Zinfandel,Renwood
225,France,"From one of the many recent exceptional years in Sauternes, this ripe, unctuous wine has balanced the rich honeyed fruit and the drier edge of botrytis. It's full in the mouth, with Seville orange and a light touch of ginger. Drink from 2019.",,93,120.0,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Raymond-Lafon
231,US,"From a seven-acre section of the vineyard, this offers plenty of saddle leather and cedar amidst spicy cardamom layers, a soft, juicy core and tingling acidity. The structure and weight suggest the ability to cellar comfortably through 2020.",Red Rock Terrace,93,200.0,California,Napa Valley,Napa,Cabernet Sauvignon,Diamond Creek
284,US,"Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond.",Lampyridae Vineyards,92,100.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Communication Block
290,France,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",,91,100.0,Burgundy,Clos de Vougeot,,Pinot Noir,Evening Land
313,US,"This impressive 100% varietal wine shows focused red fruit, a tropical edge of coconut and firm, structured tannin. Sage, cedar, tobacco and black pepper notes provide a sultry, savory counterpoint to the fruit, balanced with moderate acidity. Enjoy 2023–2033.",Outer Limits,94,155.0,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
327,France,"This is a serious wine with a lighter brighter side. Its wood aging adds spice to the ripe red fruits and brings out the concentration and intensity. It is, in its way, an unexpected side of Provence rosé, emphasizing richness and complexity. But it all comes together: a fine wine that, after a year of aging, is ready to drink.",Garrus,94,100.0,Provence,Côtes de Provence,,Rosé,Château d'Esclans
335,Portugal,"The top wine in the Rocim range is produced from selected Alicante Bouschet grapes. It is huge and powerful, perhaps too much in its concentration, richness and density. Dark and brooding, it is super everything and certainly needs to calm down. Drink from 2019.",Grande Rocim Reserva,91,130.0,Alentejano,,,Alicante Bouschet,Herdade do Rocim
342,Italy,"Aromas of perfumed berry, mint, baking spice and a whiff of oak emerge on this structured wine. The firm palate offers wild red cherry, crushed raspberry, mint, grilled sage and a touch of oak-driven spice alongside bracing tannins and nervous acidity. Give it time to soften and fully develop. Drink 2019–2031.",Brunate,91,115.0,Piedmont,Barolo,,Nebbiolo,Oddero
514,US,"Muted black plum teases from the nose of this wine, a blend of 73% Cabernet Sauvignon, 16% Merlot, 8% Cabernet Franc and 3% Petit Verdot. Amidst a wall of dusty tannins still needing time to soften, you'll find clove, blackberry and a treasure trove of chocolate and vanilla.",Cambium,92,125.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Sequoia Grove
583,US,"High-toned aromas of cranberry, herb, black licorice and dried cherry are followed by tightly wound dark-fruit flavors backed by firm tannins. The finish extends into the distance. It's a highly structured wine, with its best days far in front of it. Best from 2021 through 2027.",,93,125.0,Washington,Washington,Washington Other,Bordeaux-style Red Blend,21 Grams
594,US,"Another beauty from this producer and this appellation, Hughes is about granite-like minerality and rocky dust—a big-boned powerhouse from a powerful vintage that boasts generous spiced plum, cola, clove and black pepper flavors.",Hughes,93,120.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Sbragia
596,US,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",A Ken Forrester Wine Farrow Ranch,93,100.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Bridge
650,US,"While soft and approachable, this wine also offers a density of black currant and cherry that gives significant power and juicy exuberance. Sizable tannins risk overtaking the fruit, but never do, with the oak imparting a jolt of smokiness on the finish.",Laki's Vineyard Estate,90,111.0,California,Oak Knoll District,Napa,Cabernet Sauvignon,Eleven Eleven
769,Italy,"Made entirely from Cabernet Franc, this opens with aromas of green bell pepper, cedar and an herbaceous whiff of grass. The palate offers mature red currants, raspberries, exotic spice, toasted oak, herb and vanilla alongside bracing tannins. It has a tart, drying finish.",Scipio,89,110.0,Tuscany,Toscana,,Cabernet Franc,Tenuta Sette Cieli
874,Italy,"An enticing fragrance of rose, blue flower, incense and truffle wafts out of the glass. On the palate, accents of black pepper, espresso and licorice add depth to the bright cherry-berry fruit, while polished tannins give it a smooth, silky texture. It's well balanced and fresh. Drink 2018–2030.",Maria di Brun,92,113.0,Piedmont,Barbaresco,,Nebbiolo,Ca'Romè
888,US,"Pure Merlot from the Stillwater Creek Vineyard, this finished its fermentation in concrete egg, then spent 20 months in 100% new French oak, and another two years in bottle prior to release. Tightly wound and dense with cherry and chocolate layered throughout, it brings in flavors of red licorice and baking spices. The tannins are silky and the structure and flavors are bold.",,92,140.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Matteo
892,Chile,"Reedy, berry aromas come with a shot of eucalyptus, which is very Chilean. A tight, tannic, dry palate is exact and intense. Flavors of leafy and slightly herbal black fruits are matched by licorice and coffee notes, while the finish is long, dry, snappy and loaded with earthy spice notes and hints of olive and mint. Drink through 2019.",Tralca,92,100.0,Colchagua Valley,,,Red Blend,Viña Bisquertt
898,Italy,"Aromas of crushed plum, asphalt, oak, toast, exotic spice and forest floor lead the nose. The palate delivers black cherry, mocha, licorice and mineral alongside bracing, tightly woven tannins that need time to unwind. Drink 2017–2031.",Sorì Tildin,92,500.0,Piedmont,Langhe,,Red Blend,Gaja
915,US,"Multiple vineyards contribute to this standout blend. It feels open and accessible, yet carries the structure to age gracefully. You'll find interesting threads of freshly picked herb, lemon oil, pimiento and olive supporting citrus and fresh apple fruit.",Récolte Grand Cru,93,125.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,Domaine Serene
916,US,"Earthy with dusty loam and forest scents, this wine is intensely rich, with grippy, chewy tannins. Fine-grained oak notes support dark chocolate, clove and tobacco flavors, accented with fruit-forward elements that recall wild blueberry and blackberry. Structured to age, it will be best from 2023 through 2030.",Sycamore Vineyard,93,150.0,California,Rutherford,Napa,Cabernet Sauvignon,Freemark Abbey
954,Italy,"Dense and concentrated, this blend of 66% Cabernet Sauvignon, 26% Cabernet Franc and 8% Petit Verdot initially has a subdued nose that eventually reveals prune, alcohol, tobacco and leather aromas. The syrupy palate doles out blackberry extract, fig, sweet spice and soaring alcohol alongside velvety tannins. While some may like the sheer power, the dominant alcohol stunts any complexity, giving it a monolithic quality.",,89,240.0,Tuscany,Toscana,,Red Blend,Tenuta di Trinoro
979,US,"Cherry-berry and vanilla surround a soft, spicy core of high-toned red fruit. Mellowed with age, the tannins linger in perceived sweetness.",,90,125.0,California,Rutherford,Napa,Cabernet Sauvignon,Azari
980,Italy,"Red rose, bright berry and anisette aromas lead the way. The taut palate offers sour cherry, tobacco, clove and chopped herb alongside bracing tannins and brisk acidity.",Cannubi,90,110.0,Piedmont,Barolo,,Nebbiolo,Borgogno Giacomo e Figli
981,Italy,"This brawny, forward wine opens with aromas that recall spirits, steeped plum, roasted coffee bean and menthol. The dense, chewy palate offers black cherry liqueur, licorice, espresso and the warmth of evident alcohol accompanied by brooding tannins. Drink sooner rather than later.",Rapet,90,103.0,Piedmont,Barbaresco,,Nebbiolo,Ca'Romè
982,Italy,"Aromas of rose, red berry, espresso, grilled herb and toast lead the nose. The taut palate offers crunchy red cherry, raspberry, star anise and white pepper alongside tightly wound, assertive tannins. It closes on a note of roasted coffee bean.",Bernardot,90,100.0,Piedmont,Barbaresco,,Nebbiolo,Ceretto
1037,Chile,"Dark berry, shoe polish and lemony oak are at the center of the bouquet on this blend of Malbec, Cabernet Sauvignon, Syrah and Petit Verdot. The palate feels rich to the point of syrupy, while the flavor profile offers a condensed, jammy mix of wild berries, wood, herbs, chocolate and coffee. Additional herbal notes along with spicy flavors carry a thick finish to its conclusion. Drink through 2018.",Auma Los Lingues,91,100.0,Colchagua Valley,,,Red Blend,Koyle
1041,Chile,"An intriguing, well-made wine, it conveys saucy red-fruit aromas that come with notes of raw oak, leather and herbs. It smacks the palate with hard tannins and raw verve, while flavors of vanilla, mocha, licorice and berry fruits finish crisp and woody. Drink through 2017.",Toknar,91,100.0,Aconcagua Valley,,,Petit Verdot,Von Siebenthal
1191,Spain,"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",El Anejón,93,136.0,Northern Spain,Ribera del Duero,,Red Blend,Pago de Carraovejas
1211,France,"Situated in the center of the premier crus of Puligny, Champgains produces an elegant, textured wine. This bottling, with the warmth of 2013 behind it, is fragrant with white fruits and has a soft aftertaste. It needs to age to bring it out its more complex character, so wait until 2018.",Les Champgains Premier Cru,90,141.0,Burgundy,Puligny-Montrachet,,Chardonnay,Jean-Luc and Paul Aegerter
1213,US,"A minuscule amount of this wine is made, coming from 45-year-old vines. Ripe, dense and dusty red and black berries combine against soft, approachable layers of integrated tannin and oak, finishing with leather and cigar.",The Hidden One Exceptional Selection,90,100.0,California,St. Helena,Napa,Cabernet Sauvignon,Leto
1214,Italy,"Aromas of pressed rose, dried berry, leather, chopped herb, cinnamon and a balsamic note emerge in the glass. The subtle palate delivers dried black cherry, black raspberry, licorice and a hint of tobacco alongside firm, ripe tannins. Enjoy sooner rather than later to capture the remaining fruit richness.",Rocche Rivera,90,102.0,Piedmont,Barolo,,Nebbiolo,Luigi Oddero & Figli
1246,US,"This is woody, silky, and balanced between tones of tobacco leaf and herb and a swath of dark leather. It's high-toned and elegant, showcasing the softer side of Cabernet from a cool vintage, with a lengthy, memorable finish.",Limited Release X Clones Estate Bottled,92,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Charles Krug
1254,US,"A 100% Cabernet Sauvignon made in small amounts from multiple vineyards, including Beckstoffer Missouri Hopper in Oakville and the Somerston Vineyard on the eastern edges of the Napa Valley. Rich and concentrated in black plum and berry, this is a supple wine that's highlighted by a seasoning of dusty tannins and coconut shavings. The finish is awash in chocolate and cinnamon.",Small Block Reserve,92,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hess Collection
1459,US,"Leather and peppercorn jump from the glass in this soft, strong wine, powerful in tannin and dusty earth. A gravelly, rocky component plays on the palate around waves of chocolate and black currant, finishing in herb.",Franc 'n Stern,90,125.0,California,Oakville,Napa,Cabernet Franc,Oakville East
1497,Portugal,"Despite its richness, this is a stylish wine that exudes freshness as much as dense fruit and structure. A blend of Touriga Nacional, Syrah and Cabernet Sauvignon, all structured varieties, it still yields a generous full-bodied and rounded wine. It does need to age, so drink from 2018.",Maria Mora Enamorada,90,100.0,Alentejano,,,Portuguese Red,Magnum Vinhos
1498,US,"Sourced from the southeastern section of the Rutherford appellation and 100% varietal, this is a seamlessly made wine, luxurious in cherry pie and leather saddle. Tangy acidity meets the dusty tannins head-on, finishing with a burst of orange zest.",,90,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Mathew Bruno
1598,Italy,"Aromas suggest mature black berry, savory herb and a balsamic note. The palate displays baked plum, black pepper and anisette alongside bracing tannins.",Riserva,87,140.0,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta di Sesta
1602,Italy,"This robust wine features aromas of stewed plum, damp hay and anisette. These carry over to the warm palate, along with dried fruit flavors and the heat of evident alcohol that throws it off balance.",Ripe al Convento Riserva,87,138.0,Tuscany,Brunello di Montalcino,,Sangiovese,Castelgiocondo
1662,Italy,"Aromas of vanilla, prune and nutmeg lead the nose on this robust Merlot. The dense, monolithic palate offers raisin, leather and licorice alongside the heat of evident alcohol and drying tannins. It's shy on freshness and fruit richness so drink sooner rather than later.",Trasolo,88,120.0,Tuscany,Toscana,,Merlot,Tenuta Villa Trasqua
1673,Italy,"Made entirely with Merlot, this densely extracted wine opens with aromas of toasted oak, black currants and vanilla. The tightly packed palate delivers dried blackberries, tobacco, espresso and licorice alongside raspy wood tannins that leave an astringent finish. It lacks the fruit richness to stand up to the heavy oak influence.",Poggio ai Merli,88,110.0,Tuscany,Toscana,,Merlot,Castellare di Castellina
1728,France,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",Grèves Premier Cru,90,117.0,Burgundy,Beaune,,Chardonnay,Domaine Jacques Prieur
1753,Italy,"Forest floor, mature berry, scorched soil and a whiff of new leather lead the nose. The palate shows dried black cherry, mocha, cinnamon and clove alongside firm, fine-grained tannins. A licorice note closes the finish.",Riserva,90,120.0,Tuscany,Brunello di Montalcino,,Sangiovese,Seconda Stella a Destra
1795,US,"Soft and supple on the palate, this impressive wine is lightly spiced with dust and clove, its tannins rounded and in support of lingering cassis and red cherry flavors. Mocha and tobacco lend additional depth and complexity as it unfolds, punctuated by juicy acidity.",,92,100.0,California,Rutherford,Napa,Cabernet Sauvignon,Mathew Bruno
1860,US,"From the winery's most pebbly five-acre section of vineyard atop Diamond Mountain, this is dark black-purple in color. The tannins are soft but powerful, eager to age through 2025–2027, while the fruit lies on the currant and plum side of things, with a bit of cedar lurking through.",Gravelly Meadow,91,200.0,California,Napa Valley,Napa,Cabernet Sauvignon,Diamond Creek
1926,US,"Some ageable Cabs are lovely to drink on release. Not this one. It's tough in tannins, with a gum-stinging astringency. Below all that are ripe, concentrated blackberry jam and cassis flavors. Blended with Merlot, Cabernet Franc and Petit Verdot, it's already throwing some sediment, a good sign, which means you won't have to wait 20 years for it to come around. Pop that cork after 2018.",,90,125.0,California,Napa,,Cabernet Sauvignon,Juslyn Vineyards
1964,US,"Made from a majority of Cabernet Franc, complemented with a small handful of Merlot, the wine is aged in new French oak half barrels. Tannic and savory in cassis and cranberry, the wine also shows a trace of black tea and tomato leaf. The wine's oak remains extremely pronounced, which suggests some time in cellar, through 2020.",Will Jarvis' Science Project,88,135.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Jarvis
1997,Spain,"Despite being nine years old, this comes across young and jammy, with foxy aromas of wild berries and animal fur. The palate is blocky, heavily extracted and fully ripe in feel. Flavors of prune and blackberry finish with hard tannins. Drink or hold.",200 Monges Selección Especial Reserva,88,120.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Vínícola Real
2127,Italy,"This offers aromas of toast, espresso, scorched earth, red berry, clove and a whiff of leather. The lean, tense palate offers dried cherry, grilled herb, anise, coffee and tobacco but not much fruit richness. Tightly wound, bracing tannins and nervous acidity provide the framework.",Cannubi,90,103.0,Piedmont,Barolo,,Nebbiolo,Poderi Luigi Einaudi
2145,France,"Full of ripe fruit, opulent and concentrated, this is a fabulous and impressive wine. It has a beautiful line of acidity balanced with ripe fruits. The wood aging is subtle, just a hint of smokiness and toast. This is one of those wines, from a great white wine vintage, that will age many years. Drink from 2024.",,100,848.0,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Haut-Brion
2146,Italy,"Perfumed berry, rose, new leather and dark spice are some of the enticing scents you'll find in this vibrant wine. It's still tightly wound but already dazzles with juicy wild cherry, crushed raspberry, cinnamon, nutmeg and pipe tobacco flavors. Youthfully austere but noble tannins and bright acidity provide balance and serious aging potential. Don't be tempted to open it soon—the best is yet to come. Drink 2022–2042.",Madonna delle Grazie,99,200.0,Tuscany,Brunello di Montalcino,,Sangiovese,Il Marroneto
2148,Australia,"Full-bodied and plush yet vibrant and imbued with fresh fruit, this is simply superb. The oak is present but never dominant, adding brown sugar and cinnamon elements to blueberry, roasted meat, espresso and black olive notes. A hint of peppery spice also creeps into this impossibly complex wine. The finish combines power, length, freshness and dusty tannins, suggesting that while impressive now, it should age well. Drink now–2030.",The Factor,98,125.0,South Australia,Barossa Valley,,Shiraz,Torbreck
2150,Italy,"Balancing power and grace, this wine delivers alluring aromas and flavors of ripe black cherry, raspberry compote, grilled herb, licorice and tar. Vibrant acidity and firm, velvety tannins provide freshness and structure, while a hint of pipe tobacco closes the lingering finish. Drink 2020–2032.",Montosoli,97,125.0,Tuscany,Brunello di Montalcino,,Sangiovese,Altesino
2151,France,"This is a rich, finely structured wine. It is highly perfumed, packed with black fruits and a dark, firm texture. At the same time, the acidity is intense and the structure tight, suggesting a wine to age. Beautifully endowed with great fruit, it will take time to develop. Drink from 2026.",,97,130.0,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Vieux Château Certan
2152,France,"This is a great wine. It has all the elements in place to produce a wine that will last for years: powerful fruit, rich tannins and a structure that is built to last. This is elegant, impressive and concentrated. Almost entirely Cabernet Sauvignon, the grape gives the wine its fruit and its tannins. Drink from 2028.",,97,150.0,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Léoville Las Cases
2155,France,"There is a sense of pure juicy black-currant fruit that shoots through this great wine. With tannins that are firm while not a jot too much, the wine is crisp, packed with fruit and set for many years of aging. It is beautiful, fruity and intensely structured. Drink from 2027.",,97,450.0,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Margaux
2159,France,"With seriously dense tannins, this shows great structure. Rich and full of ripe fruit, it also has a fresh streak that gives it a lift. The structure will allow the wine to age over many years while the fruit and acidity will give it crispness. Drink this impressive wine from 2027.",,97,330.0,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Haut-Brion
2212,Italy,"Aromas of mocha, espresso, coconut, ripe black-skinned fruit and new wood lead the nose on this hearty blend of 40% Cabernet Sauvignon, 30% Cabernet Franc, 25% Merlot and 5% Petit Verdot. The thickly concentrated palate offers up dried black cherry, roasted coffee beans, toasted oak and vanilla alongside astringent tannins.",,88,175.0,Tuscany,Toscana,,Red Blend,Monteverro
2293,Italy,"Dense and full-bodied, this delivers sensations of asphalt, menthol, grilled herb, mature black cherry and game. Reflecting the heat of the vintage, it's ripe and forward but firmly knit tannins give it a solid backbone that will allow it to age for several more years.",La Volta Riserva,91,105.0,Piedmont,Barolo,,Nebbiolo,Viberti
2318,Italy,"This offers aromas of toast, espresso, scorched earth, red berry, clove and a whiff of leather. The lean, tense palate offers dried cherry, grilled herb, anise, coffee and tobacco but not much fruit richness. Tightly wound, bracing tannins and nervous acidity provide the framework.",Cannubi,90,103.0,Piedmont,Barolo,,Nebbiolo,Poderi Luigi Einaudi
2323,Italy,"Aromas of mature berry, menthol, coffee bean, toast and dark cooking spice emerge on this bracing wine. The firmly structured palate delivers dried black cherry, espresso, French oak, licorice, chopped herb and tobacco set against bracing, close-grained tannins and the warmth of alcohol. The tannins will need years to unwind.",Prapò,90,110.0,Piedmont,Barolo,,Nebbiolo,Ceretto
2328,Portugal,"This wood-aged, fortified Moscatel has retained its fruitiness while also showing older, wood and toast flavors. Perfumed and fragrant, with integrated acidity, enjoy this offering soon.",Colheita,90,137.0,Moscatel do Douro,,,Moscatel,Adega de Favaios
2345,Spain,"Strong classy oak aromas lead blackberry and baking-spice scents on a potent but textbook RDD nose. This old-vines wine from a benchmark year is tight-fisted and linear in feel, with lemony acidity. Fully oaked flavors of blackberry and cassis sit comfortably on a bed of herb and spice notes, while this is oaky, spicy, steady and integrated on the finish. Drink through 2027.",VS,92,125.0,Northern Spain,Ribera del Duero,,Tempranillo,Alidis
2358,US,"Spicy clove flavors enwrap rounded tannin and integrated oak in this structured, bold and full-bodied wine. A reserve-tier bottling, it shows deep red fruit, from cassis to currant, and a predominance of both the savory and tart.",Reserve,92,140.0,California,Sonoma-Napa,Napa-Sonoma,Cabernet Sauvignon,Pride Mountain
2367,US,"This small-production blend of 85% Cabernet Sauvignon and 15% Merlot from winemaker Tom Rinaldi is rounded and juicy, with moderate acidity. It shows generous clove, cinnamon and black cherry flavors, the structure supportive and graceful.",Pellet Vineyard Henry's Reserve,92,125.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Pellet Estate
2414,Italy,"Aromas that recall charred earth, toast, oak, black plum, baking spice and espresso meld together on this. The generous, chewy palate doles out fleshy wild cherry, black raspberry, vanilla and mocha alongside supple tannins. It's straightforward, with immediate appeal. Drink through 2020.",,89,120.0,Tuscany,Brunello di Montalcino,,Sangiovese,Val di Suga
2432,France,"This is an immensely dense wine that is going to be a classic. The dark tannins are still lined with wood aging but that will go because the fruit underneath is also just as dense and intense. Blackberry, black plum and damson plum give power and sweetness. This is a great wine with huge potential. Drink from 2028.",,97,145.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Cos d'Estournel
2434,France,"With 83% Sémillon in the blend, this wine has weight as well as richness. At the same time, it has a crisp edge, a smoky character from wood aging and the fine balance between citrus and more exotic fruits. It is a wine to age for many years. Drink from 2022.",,97,698.0,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château La Mission Haut-Brion
2436,France,"With the amalgamation of Château Magdelaine into this one property, the estate is now a considerable 58 acres. The wine is now performing in top gear. Powerful tannins drive the mainly Merlot blend with 10% Cabernet Franc. It still shows signs of the wood aging and these will disappear to leave a richly endowed wine with a fine future. Drink from 2026.",,96,160.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Bélair-Monange
2444,France,"What to mention first? A hint of mossy earth, chamomile tisane, Cox Orange Pippin apples or lemon zest? All of these aromas dance on the nose. They are still totally shy on the taut, dry and concentrated palate. For now, it is mossy citrus that is most aromatic while rich fruit still needs to unfurl. This strikes a note of utter purity, of something soaring and bright. Right now this is totally brisk, invigorating and refreshing but its true colors won't show for some time. Drink 2020–2035.",Clos Saint Urbain Rangen de Thann Grand Cru,96,120.0,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
2447,France,"Here's an impressive wine that is so ripe and with great structure. It is a major wine with a dark complex texture and the finest acidity. The wine is very complete, all the elements in place from the black fruits to the tannins to the hints of wood aging. Now at the top of the tree in Saint-Emilion's classification, the wine will take years to mature. Drink from 2027.",,96,200.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Valandraud
2451,France,"This almost 100% Cabernet Franc single-vineyard wine is perfumed and ripe. The velvet tannins and ripe black fruits are fine, structured and with enormous potential. The wine is generous, opulent and worthy of serious aging. Drink from 2027.",,96,175.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Le Dôme
2453,Spain,"This single-vineyard Carignan is living proof of how impressive the variety can be, especially when hailing from a top year like 2012. Schisty aromas of blackberry, chocolate and mocha are smooth and alluring. This feels focused, pure and juicy, while dense blackberry, mocha and baking spice flavors tail off with exotic notes of Malabar pepper, toast and the finest black coffee. Drink through 2023.",El Perer,96,770.0,Catalonia,Priorat,,Carignan,Marco Abella
2458,Australia,"This is a top example of the classic Australian blend. Cabernet (57%) provides cigar box aromas and elongates the finish, while Shiraz (43%) fills out the midpalate. The combination is full-bodied yet muscular, generous yet firmly structured. Essence of cassis is framed by hints of vanilla and cedar, while the long finish shows off chewy tannins and mouthwatering acids. Drink 2023–2035, and posssibly beyond.",The Peake,96,150.0,South Australia,McLaren Vale,,Cabernet-Shiraz,Hickinbotham
2582,US,"Spicy clove flavors enwrap rounded tannin and integrated oak in this structured, bold and full-bodied wine. A reserve-tier bottling, it shows deep red fruit, from cassis to currant, and a predominance of both the savory and tart.",Reserve,92,140.0,California,Sonoma-Napa,Napa-Sonoma,Cabernet Sauvignon,Pride Mountain
2590,US,"Smoky and oaky with a punch of dark chocolate, this full-bodied, brambly red bursts with clove, cinnamon and blackberry flavors. It develops further layers as it opens and is built for either cellaring or immediate enjoyment.",Ehrlich Vineyard,92,118.0,California,Oakville,Napa,Cabernet Sauvignon,B Cellars
2603,US,"Another of the producer's mountain reds, this features rough-hewn tannin that grips the palate with tenacity and power, yielding to show juicy acidity and fully realized cedar, dusty cranberry and cassis flavors.",Neal,92,120.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Sbragia
